Title,Year,Ratings
"<h3 class=""ipc-title__text"">69. Inglourious Basterds</h3>","2009,2h 33m,R,8.4, (,1.6M,),Rate",8.4
"<h3 class=""ipc-title__text"">70. The Dark Knight Rises</h3>","2012,2h 44m,PG-13,8.4, (,1.8M,),Rate",8.4
"<h3 class=""ipc-title__text"">71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</h3>","1964,1h 35m,PG,8.4, (,515K,),Rate",8.4
"<h3 class=""ipc-title__text"">72. American Beauty</h3>","1999,2h 2m,R,8.3, (,1.2M,),Rate",8.3
"<h3 class=""ipc-title__text"">73. Oldboy</h3>","2003,2h,R,8.3, (,629K,),Rate",8.3
"<h3 class=""ipc-title__text"">74. Coco</h3>","2017,1h 45m,PG,8.4, (,582K,),Rate",8.4
"<h3 class=""ipc-title__text"">75. Amadeus</h3>","1984,2h 40m,PG,8.4, (,425K,),Rate",8.4
"<h3 class=""ipc-title__text"">76. Toy Story</h3>","1995,1h 21m,G,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">77. The Boat</h3>","1981,2h 29m,8.4, (,263K,),Rate",8.4
"<h3 class=""ipc-title__text"">78. Braveheart</h3>","1995,2h 58m,R,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">79. Avengers: Endgame</h3>","2019,3h 1m,PG-13,8.4, (,1.3M,),Rate",8.4
"<h3 class=""ipc-title__text"">80. Joker</h3>","2019,2h 2m,R,8.4, (,1.5M,),Rate",8.4
"<h3 class=""ipc-title__text"">81. Princess Mononoke</h3>","1997,2h 14m,PG-13,8.3, (,429K,),Rate",8.3
"<h3 class=""ipc-title__text"">82. Good Will Hunting</h3>","1997,2h 6m,R,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">83. Your Name.</h3>","2016,1h 46m,TV-PG,8.4, (,314K,),Rate",8.4
"<h3 class=""ipc-title__text"">84. Oppenheimer</h3>","2023,3h,R,8.4, (,651K,),Rate",8.4
"<h3 class=""ipc-title__text"">85. Once Upon a Time in America</h3>","1984,3h 49m,R,8.3, (,375K,),Rate",8.3
"<h3 class=""ipc-title__text"">86. High and Low</h3>","1963,2h 23m,Not Rated,8.4, (,52K,),Rate",8.4
"<h3 class=""ipc-title__text"">87. 3 Idiots</h3>","2009,2h 50m,PG-13,8.4, (,431K,),Rate",8.4
"<h3 class=""ipc-title__text"">88. Singin' in the Rain</h3>","1952,1h 43m,G,8.3, (,259K,),Rate",8.3
"<h3 class=""ipc-title__text"">89. Capernaum</h3>","2018,2h 6m,R,8.4, (,104K,),Rate",8.4
"<h3 class=""ipc-title__text"">90. Requiem for a Dream</h3>","2000,1h 42m,Unrated,8.3, (,892K,),Rate",8.3
"<h3 class=""ipc-title__text"">91. Come and See</h3>","1985,2h 22m,Not Rated,8.4, (,95K,),Rate",8.4
"<h3 class=""ipc-title__text"">92. Toy Story 3</h3>","2010,1h 43m,E10+,8.3, (,886K,),Rate",8.3
"<h3 class=""ipc-title__text"">93. Star Wars: Episode VI - Return of the Jedi</h3>","1983,2h 11m,PG,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">94. Eternal Sunshine of the Spotless Mind</h3>","2004,1h 48m,R,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">95. The Hunt</h3>","2012,1h 55m,R,8.3, (,361K,),Rate",8.3
"<h3 class=""ipc-title__text"">96. 2001: A Space Odyssey</h3>","1968,2h 29m,G,8.3, (,714K,),Rate",8.3
"<h3 class=""ipc-title__text"">97. Reservoir Dogs</h3>","1992,1h 39m,R,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">98. Ikiru</h3>","1952,2h 23m,Not Rated,8.3, (,87K,),Rate",8.3
"<h3 class=""ipc-title__text"">99. Poor Things</h3>","2023,2h 21m,R,8.3, (,104K,),Rate",8.3
"<h3 class=""ipc-title__text"">100. Lawrence of Arabia</h3>","1962,3h 38m,Approved,8.3, (,312K,),Rate",8.3
"<h3 class=""ipc-title__text"">101. The Apartment</h3>","1960,2h 5m,Approved,8.3, (,195K,),Rate",8.3
"<h3 class=""ipc-title__text"">102. North by Northwest</h3>","1959,2h 16m,Approved,8.3, (,344K,),Rate",8.3
"<h3 class=""ipc-title__text"">103. Citizen Kane</h3>","1941,1h 59m,PG,8.3, (,463K,),Rate",8.3
"<h3 class=""ipc-title__text"">104. M</h3>","1931,1h 39m,Passed,8.3, (,167K,),Rate",8.3
"<h3 class=""ipc-title__text"">105. Vertigo</h3>","1958,2h 8m,PG,8.3, (,424K,),Rate",8.3
"<h3 class=""ipc-title__text"">106. Double Indemnity</h3>","1944,1h 47m,Passed,8.3, (,166K,),Rate",8.3
"<h3 class=""ipc-title__text"">107. Scarface</h3>","1983,2h 50m,18+,8.3, (,908K,),Rate",8.3
"<h3 class=""ipc-title__text"">108. Incendies</h3>","2010,2h 11m,R,8.3, (,196K,),Rate",8.3
"<h3 class=""ipc-title__text"">109. Amélie</h3>","2001,2h 2m,R,8.3, (,790K,),Rate",8.3
"<h3 class=""ipc-title__text"">110. Full Metal Jacket</h3>","1987,1h 56m,R,8.3, (,785K,),Rate",8.3
"<h3 class=""ipc-title__text"">111. A Clockwork Orange</h3>","1971,2h 16m,X,8.3, (,876K,),Rate",8.3
"<h3 class=""ipc-title__text"">112. Heat</h3>","1995,2h 50m,R,8.3, (,713K,),Rate",8.3
"<h3 class=""ipc-title__text"">113. Up</h3>","2009,1h 36m,PG,8.3, (,1.1M,),Rate",8.3
"<h3 class=""ipc-title__text"">114. To Kill a Mockingbird</h3>","1962,2h 9m,Approved,8.3, (,331K,),Rate",8.3
"<h3 class=""ipc-title__text"">115. The Sting</h3>","1973,2h 9m,PG,8.3, (,278K,),Rate",8.3
"<h3 class=""ipc-title__text"">116. A Separation</h3>","2011,2h 3m,PG-13,8.3, (,257K,),Rate",8.3
"<h3 class=""ipc-title__text"">117. Indiana Jones and the Last Crusade</h3>","1989,2h 7m,PG-13,8.2, (,806K,),Rate",8.2
"<h3 class=""ipc-title__text"">118. Die Hard</h3>","1988,2h 12m,R,8.2, (,939K,),Rate",8.2
"<h3 class=""ipc-title__text"">119. Hamilton</h3>","2020,2h 40m,PG-13,8.3, (,112K,),Rate",8.3
"<h3 class=""ipc-title__text"">120. Metropolis</h3>","1927,2h 33m,Not Rated,8.3, (,184K,),Rate",8.3
"<h3 class=""ipc-title__text"">121. Like Stars on Earth</h3>","2007,2h 42m,PG,8.3, (,205K,),Rate",8.3
"<h3 class=""ipc-title__text"">122. Snatch</h3>","2000,1h 42m,R,8.2, (,903K,),Rate",8.2
"<h3 class=""ipc-title__text"">123. L.A. Confidential</h3>","1997,2h 18m,R,8.2, (,614K,),Rate",8.2
"<h3 class=""ipc-title__text"">124. Bicycle Thieves</h3>","1948,1h 29m,Not Rated,8.3, (,174K,),Rate",8.3
"<h3 class=""ipc-title__text"">125. 1917</h3>","2019,1h 59m,R,8.2, (,666K,),Rate",8.2
"<h3 class=""ipc-title__text"">126. Taxi Driver</h3>","1976,1h 54m,R,8.2, (,912K,),Rate",8.2
"<h3 class=""ipc-title__text"">127. Downfall</h3>","2004,2h 36m,R,8.2, (,373K,),Rate",8.2
"<h3 class=""ipc-title__text"">128. Dangal</h3>","2016,2h 41m,Not Rated,8.3, (,208K,),Rate",8.3
"<h3 class=""ipc-title__text"">129. For a Few Dollars More</h3>","1965,2h 12m,R,8.2, (,272K,),Rate",8.2
"<h3 class=""ipc-title__text"">130. Batman Begins</h3>","2005,2h 20m,PG-13,8.2, (,1.6M,),Rate",8.2
"<h3 class=""ipc-title__text"">131. The Wolf of Wall Street</h3>","2013,3h,R,8.2, (,1.6M,),Rate",8.2
"<h3 class=""ipc-title__text"">132. Some Like It Hot</h3>","1959,2h 1m,Passed,8.2, (,282K,),Rate",8.2
"<h3 class=""ipc-title__text"">133. The Kid</h3>","1921,1h 8m,Passed,8.2, (,134K,),Rate",8.2
"<h3 class=""ipc-title__text"">134. Green Book</h3>","2018,2h 10m,PG-13,8.2, (,559K,),Rate",8.2
"<h3 class=""ipc-title__text"">135. The Father</h3>","2020,1h 37m,PG-13,8.2, (,189K,),Rate",8.2
"<h3 class=""ipc-title__text"">136. Top Gun: Maverick</h3>","2022,2h 10m,PG-13,8.2, (,678K,),Rate",8.2
"<h3 class=""ipc-title__text"">137. Judgment at Nuremberg</h3>","1961,2h 59m,Approved,8.3, (,84K,),Rate",8.3
